t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,d3_x,d3_y,d3_z,d3_poserr,d3_solve_ms,d4_x,d4_y,d4_z,d4_poserr,d4_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.9000,0.0000,-0.0000,-10.0000,0.0000,0.0767,-0.0000,3.0000,-10.0000,0.0000,0.0805,0.0000,-3.0000,-10.0000,0.0000,0.0475,3.0000,0.0000,-10.0000,0.0000,0.0468,-3.0000,0.0000,-10.0000,0.0000,0.0488,0.0000,0.0000,-5.0000,0.0000,3.0000
0.9500,0.0000,-0.0000,-10.0000,0.0000,0.0764,-0.0000,3.0000,-10.0000,0.0000,0.0803,0.0000,-3.0000,-10.0000,0.0000,0.0464,3.0000,0.0000,-10.0000,0.0000,0.0463,-3.0000,0.0000,-10.0000,0.0000,0.0467,0.0000,0.0000,-5.0000,0.0000,3.0000
1.0000,0.0000,-0.0000,-10.0000,0.0000,0.0773,-0.0000,3.0000,-10.0000,0.0000,0.0807,0.0000,-3.0000,-10.0000,0.0000,0.0460,3.0000,0.0000,-10.0000,0.0000,0.0466,-3.0000,0.0000,-10.0000,0.0000,0.0461,0.0000,0.0000,-5.0000,0.0000,3.0000
1.0500,0.0000,-0.0000,-10.0000,0.0000,0.0765,-0.0000,3.0000,-10.0000,0.0000,0.0802,0.0000,-3.0000,-10.0000,0.0000,0.0460,3.0000,0.0000,-10.0000,0.0000,0.0469,-3.0000,0.0000,-10.0000,0.0000,0.0472,0.0000,0.0000,-5.0000,0.0000,3.0000
1.1000,0.0000,-0.0000,-10.0000,0.0000,0.0779,-0.0000,3.0000,-10.0000,0.0000,0.0817,0.0000,-3.0000,-10.0000,0.0000,0.0465,3.0000,0.0000,-10.0000,0.0000,0.0462,-3.0000,0.0000,-10.0000,0.0000,0.0461,0.0000,0.0000,-5.0000,0.0000,3.0000
1.1500,0.0000,-0.0000,-10.0000,0.0000,0.0788,-0.0000,3.0000,-10.0000,0.0000,0.0811,0.0000,-3.0000,-10.0000,0.0000,0.0473,3.0000,0.0000,-10.0000,0.0000,0.0472,-3.0000,0.0000,-10.0000,0.0000,0.0463,0.0000,0.0000,-5.0000,0.0000,3.0000
1.2000,0.0000,-0.0000,-10.0000,0.0000,0.0765,-0.0000,3.0000,-10.0000,0.0000,0.0805,0.0000,-3.0000,-10.0000,0.0000,0.0459,3.0000,0.0000,-10.0000,0.0000,0.0464,-3.0000,0.0000,-10.0000,0.0000,0.0474,0.0000,0.0000,-5.0000,0.0000,3.0000
1.2500,0.0000,-0.0000,-10.0000,0.0000,0.0766,-0.0000,3.0000,-10.0000,0.0000,0.0805,0.0000,-3.0000,-10.0000,0.0000,0.0462,3.0000,0.0000,-10.0000,0.0000,0.0466,-3.0000,0.0000,-10.0000,0.0000,0.0495,0.0000,0.0000,-5.0000,0.0000,3.0000
1.3000,0.0000,-0.0000,-10.0000,0.0000,0.0764,-0.0000,3.0000,-10.0000,0.0000,0.0806,0.0000,-3.0000,-10.0000,0.0000,0.0463,3.0000,0.0000,-10.0000,0.0000,0.0462,-3.0000,0.0000,-10.0000,0.0000,0.0465,0.0000,0.0000,-5.0000,0.0000,3.0000
1.3500,0.0000,-0.0000,-10.0000,0.0000,0.0767,-0.0000,3.0000,-10.0000,0.0000,0.0806,0.0000,-3.0000,-10.0000,0.0000,0.0462,3.0000,0.0000,-10.0000,0.0000,0.0463,-3.0000,0.0000,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,3.0000
1.4000,0.0000,-0.0000,-10.0000,0.0000,0.0731,-0.0000,3.0000,-10.0000,0.0000,0.0760,0.0000,-3.0000,-10.0000,0.0000,0.0441,3.0000,0.0000,-10.0000,0.0000,0.0470,-3.0000,0.0000,-10.0000,0.0000,0.0462,0.0000,0.0000,-5.0000,0.0000,3.0000
