t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,d3_x,d3_y,d3_z,d3_poserr,d3_solve_ms,d4_x,d4_y,d4_z,d4_poserr,d4_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.7500,-0.0000,0.0000,-10.0000,0.0000,0.1977,-0.0000,3.0000,-10.0000,0.0000,0.1543,-0.0000,-3.0000,-10.0000,0.0000,0.0458,3.0000,0.0000,-10.0000,0.0000,0.0439,-3.0000,0.0000,-10.0000,0.0000,0.0435,0.0000,0.0000,-5.0000,0.0000,3.0000
0.8000,-0.0000,0.0000,-10.0000,0.0000,0.1978,-0.0000,3.0000,-10.0000,0.0000,0.1605,-0.0000,-3.0000,-10.0000,0.0000,0.0440,3.0000,0.0000,-10.0000,0.0000,0.0448,-3.0000,0.0000,-10.0000,0.0000,0.0441,0.0000,0.0000,-5.0000,0.0000,3.0000
0.8500,-0.0000,0.0000,-10.0000,0.0000,0.1994,-0.0000,3.0000,-10.0000,0.0000,0.1573,-0.0000,-3.0000,-10.0000,0.0000,0.0445,3.0000,0.0000,-10.0000,0.0000,0.0437,-3.0000,0.0000,-10.0000,0.0000,0.0458,0.0000,0.0000,-5.0000,0.0000,3.0000
0.9000,-0.0000,0.0000,-10.0000,0.0000,0.1996,-0.0000,3.0000,-10.0000,0.0000,0.1544,-0.0000,-3.0000,-10.0000,0.0000,0.0461,3.0000,0.0000,-10.0000,0.0000,0.0466,-3.0000,0.0000,-10.0000,0.0000,0.0473,0.0000,0.0000,-5.0000,0.0000,3.0000
0.9500,-0.0000,0.0000,-10.0000,0.0000,0.2067,-0.0000,3.0000,-10.0000,0.0000,0.1593,-0.0000,-3.0000,-10.0000,0.0000,0.0435,3.0000,0.0000,-10.0000,0.0000,0.0438,-3.0000,0.0000,-10.0000,0.0000,0.0439,0.0000,0.0000,-5.0000,0.0000,3.0000
1.0000,-0.0000,0.0000,-10.0000,0.0000,0.2059,-0.0000,3.0000,-10.0000,0.0000,0.1508,0.0000,-3.0000,-10.0000,0.0000,0.0442,3.0000,0.0000,-10.0000,0.0000,0.0446,-3.0000,0.0000,-10.0000,0.0000,0.0440,0.0000,0.0000,-5.0000,0.0000,3.0000
1.0500,-0.0000,0.0000,-10.0000,0.0000,0.2111,-0.0000,3.0000,-10.0000,0.0000,0.1564,0.0000,-3.0000,-10.0000,0.0000,0.0464,3.0000,0.0000,-10.0000,0.0000,0.0469,-3.0000,0.0000,-10.0000,0.0000,0.0464,0.0000,0.0000,-5.0000,0.0000,3.0000
1.1000,-0.0000,0.0000,-10.0000,0.0000,0.2142,-0.0000,3.0000,-10.0000,0.0000,0.1604,0.0000,-3.0000,-10.0000,0.0000,0.0461,3.0000,0.0000,-10.0000,0.0000,0.0462,-3.0000,0.0000,-10.0000,0.0000,0.0432,0.0000,0.0000,-5.0000,0.0000,3.0000
1.1500,-0.0000,0.0000,-10.0000,0.0000,0.1996,-0.0000,3.0000,-10.0000,0.0000,0.1589,0.0000,-3.0000,-10.0000,0.0000,0.0458,3.0000,0.0000,-10.0000,0.0000,0.0441,-3.0000,0.0000,-10.0000,0.0000,0.0461,0.0000,0.0000,-5.0000,0.0000,3.0000
1.2000,-0.0000,0.0000,-10.0000,0.0000,0.1987,-0.0000,3.0000,-10.0000,0.0000,0.1523,0.0000,-3.0000,-10.0000,0.0000,0.0460,3.0000,0.0000,-10.0000,0.0000,0.0472,-3.0000,0.0000,-10.0000,0.0000,0.0467,0.0000,0.0000,-5.0000,0.0000,3.0000
1.2500,-0.0000,0.0000,-10.0000,0.0000,0.1999,-0.0000,3.0000,-10.0000,0.0000,0.1524,0.0000,-3.0000,-10.0000,0.0000,0.0437,3.0000,0.0000,-10.0000,0.0000,0.0444,-3.0000,0.0000,-10.0000,0.0000,0.0471,0.0000,0.0000,-5.0000,0.0000,3.0000
1.3000,-0.0000,0.0000,-10.0000,0.0000,0.1993,-0.0000,3.0000,-10.0000,0.0000,0.1492,0.0000,-3.0000,-10.0000,0.0000,0.0442,3.0000,0.0000,-10.0000,0.0000,0.0444,-3.0000,0.0000,-10.0000,0.0000,0.0439,0.0000,0.0000,-5.0000,0.0000,3.0000
1.3500,-0.0000,0.0000,-10.0000,0.0000,0.1985,-0.0000,3.0000,-10.0000,0.0000,0.1550,0.0000,-3.0000,-10.0000,0.0000,0.0445,3.0000,0.0000,-10.0000,0.0000,0.0441,-3.0000,0.0000,-10.0000,0.0000,0.0440,0.0000,0.0000,-5.0000,0.0000,3.0000
1.4000,-0.0000,0.0000,-10.0000,0.0000,0.1999,-0.0000,3.0000,-10.0000,0.0000,0.1532,0.0000,-3.0000,-10.0000,0.0000,0.0441,3.0000,0.0000,-10.0000,0.0000,0.0441,-3.0000,0.0000,-10.0000,0.0000,0.0442,0.0000,0.0000,-5.0000,0.0000,3.0000
1.4500,0.0000,0.0000,-10.0000,0.0000,0.2017,-0.0000,3.0000,-10.0000,0.0000,0.1554,0.0000,-3.0000,-10.0000,0.0000,0.0439,3.0000,0.0000,-10.0000,0.0000,0.0442,-3.0000,0.0000,-10.0000,0.0000,0.0442,0.0000,0.0000,-5.0000,0.0000,3.0000
1.5000,0.0000,0.0000,-10.0000,0.0000,0.2011,-0.0000,3.0000,-10.0000,0.0000,0.1530,0.0000,-3.0000,-10.0000,0.0000,0.0440,3.0000,0.0000,-10.0000,0.0000,0.0445,-3.0000,0.0000,-10.0000,0.0000,0.0466,0.0000,0.0000,-5.0000,0.0000,3.0000
1.5500,0.0000,0.0000,-10.0000,0.0000,0.1983,-0.0000,3.0000,-10.0000,0.0000,0.1654,0.0000,-3.0000,-10.0000,0.0000,0.0448,3.0000,0.0000,-10.0000,0.0000,0.0435,-3.0000,0.0000,-10.0000,0.0000,0.0434,0.0000,0.0000,-5.0000,0.0000,3.0000
1.6000,0.0000,0.0000,-10.0000,0.0000,0.1994,-0.0000,3.0000,-10.0000,0.0000,0.1574,0.0000,-3.0000,-10.0000,0.0000,0.0460,3.0000,0.0000,-10.0000,0.0000,0.0438,-3.0000,0.0000,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,3.0000
1.6500,0.0000,0.0000,-10.0000,0.0000,0.1973,-0.0000,3.0000,-10.0000,0.0000,0.1528,0.0000,-3.0000,-10.0000,0.0000,0.0474,3.0000,0.0000,-10.0000,0.0000,0.0456,-3.0000,0.0000,-10.0000,0.0000,0.0442,0.0000,0.0000,-5.0000,0.0000,3.0000
1.7000,0.0000,0.0000,-10.0000,0.0000,0.1975,-0.0000,3.0000,-10.0000,0.0000,0.1572,0.0000,-3.0000,-10.0000,0.0000,0.0438,3.0000,0.0000,-10.0000,0.0000,0.0479,-3.0000,0.0000,-10.0000,0.0000,0.0438,0.0000,0.0000,-5.0000,0.0000,3.0000
1.7500,0.0000,0.0000,-10.0000,0.0000,0.1990,0.0000,3.0000,-10.0000,0.0000,0.1523,0.0000,-3.0000,-10.0000,0.0000,0.0447,3.0000,0.0000,-10.0000,0.0000,0.0441,-3.0000,0.0000,-10.0000,0.0000,0.0462,0.0000,0.0000,-5.0000,0.0000,3.0000
1.8000,0.0000,0.0000,-10.0000,0.0000,0.2117,0.0000,3.0000,-10.0000,0.0000,0.1564,0.0000,-3.0000,-10.0000,0.0000,0.0461,3.0000,0.0000,-10.0000,0.0000,0.0472,-3.0000,0.0000,-10.0000,0.0000,0.0460,0.0000,0.0000,-5.0000,0.0000,3.0000
1.8500,0.0000,0.0000,-10.0000,0.0000,0.2057,0.0000,3.0000,-10.0000,0.0000,0.1533,0.0000,-3.0000,-10.0000,0.0000,0.0436,3.0000,0.0000,-10.0000,0.0000,0.0437,-3.0000,0.0000,-10.0000,0.0000,0.0435,0.0000,0.0000,-5.0000,0.0000,3.0000
1.9000,0.0000,0.0000,-10.0000,0.0000,0.2068,0.0000,3.0000,-10.0000,0.0000,0.1600,0.0000,-3.0000,-10.0000,0.0000,0.0471,3.0000,0.0000,-10.0000,0.0000,0.0446,-3.0000,0.0000,-10.0000,0.0000,0.0439,0.0000,0.0000,-5.0000,0.0000,3.0000
1.9500,0.0000,0.0000,-10.0000,0.0000,0.2039,0.0000,3.0000,-10.0000,0.0000,0.1606,0.0000,-3.0000,-10.0000,0.0000,0.0468,3.0000,0.0000,-10.0000,0.0000,0.0462,-3.0000,0.0000,-10.0000,0.0000,0.0463,0.0000,0.0000,-5.0000,0.0000,3.0000
2.0000,0.0000,0.0000,-10.0000,0.0000,0.2102,0.0000,3.0000,-10.0000,0.0000,0.1597,0.0000,-3.0000,-10.0000,0.0000,0.0462,3.0000,0.0000,-10.0000,0.0000,0.0473,-3.0000,0.0000,-10.0000,0.0000,0.0466,0.0000,0.0000,-5.0000,0.0000,3.0000
2.0500,0.0000,-0.0000,-10.0000,0.0000,0.2039,0.0000,3.0000,-10.0000,0.0000,0.1604,0.0000,-3.0000,-10.0000,0.0000,0.0460,3.0000,0.0000,-10.0000,0.0000,0.0465,-3.0000,0.0000,-10.0000,0.0000,0.0457,0.0000,0.0000,-5.0000,0.0000,3.0000
2.1000,0.0000,-0.0000,-10.0000,0.0000,0.1984,0.0000,3.0000,-10.0000,0.0000,0.1490,0.0000,-3.0000,-10.0000,0.0000,0.0460,3.0000,0.0000,-10.0000,0.0000,0.0463,-3.0000,0.0000,-10.0000,0.0000,0.0460,0.0000,0.0000,-5.0000,0.0000,3.0000
2.1500,0.0000,-0.0000,-10.0000,0.0000,0.1993,0.0000,3.0000,-10.0000,0.0000,0.1446,0.0000,-3.0000,-10.0000,0.0000,0.0463,3.0000,0.0000,-10.0000,0.0000,0.0461,-3.0000,0.0000,-10.0000,0.0000,0.0439,0.0000,0.0000,-5.0000,0.0000,3.0000
2.2000,0.0000,-0.0000,-10.0000,0.0000,0.2023,0.0000,3.0000,-10.0000,0.0000,0.1448,0.0000,-3.0000,-10.0000,0.0000,0.0447,3.0000,0.0000,-10.0000,0.0000,0.0463,-3.0000,0.0000,-10.0000,0.0000,0.0462,0.0000,0.0000,-5.0000,0.0000,3.0000
2.2500,0.0000,-0.0000,-10.0000,0.0000,0.1973,0.0000,3.0000,-10.0000,0.0000,0.1412,0.0000,-3.0000,-10.0000,0.0000,0.0438,3.0000,0.0000,-10.0000,0.0000,0.0435,-3.0000,0.0000,-10.0000,0.0000,0.0443,0.0000,0.0000,-5.0000,0.0000,3.0000
2.3000,0.0000,-0.0000,-10.0000,0.0000,0.2063,0.0000,3.0000,-10.0000,0.0000,0.1269,0.0000,-3.0000,-10.0000,0.0000,0.0436,3.0000,0.0000,-10.0000,0.0000,0.0439,-3.0000,0.0000,-10.0000,0.0000,0.0436,0.0000,0.0000,-5.0000,0.0000,3.0000
