t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
3.7000,3.0000,0.0000,-10.0000,0.0000,0.0447,-1.5000,2.5980,-10.0000,0.0000,0.0448,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
3.7500,3.0000,0.0000,-10.0000,0.0000,0.0447,-1.5000,2.5980,-10.0000,0.0000,0.0472,-1.5000,-2.5980,-10.0000,0.0000,0.0444,0.0000,0.0000,-5.0000,0.0000,5.1960
3.8000,3.0000,0.0000,-10.0000,0.0000,0.0445,-1.5000,2.5980,-10.0000,0.0000,0.0456,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
3.8500,3.0000,0.0000,-10.0000,0.0000,0.0448,-1.5000,2.5980,-10.0000,0.0000,0.0456,-1.5000,-2.5980,-10.0000,0.0000,0.0449,0.0000,0.0000,-5.0000,0.0000,5.1960
3.9000,3.0000,0.0000,-10.0000,0.0000,0.0451,-1.5000,2.5980,-10.0000,0.0000,0.0454,-1.5000,-2.5980,-10.0000,0.0000,0.0455,0.0000,0.0000,-5.0000,0.0000,5.1960
3.9500,3.0000,0.0000,-10.0000,0.0000,0.0461,-1.5000,2.5980,-10.0000,0.0000,0.0451,-1.5000,-2.5980,-10.0000,0.0000,0.0444,0.0000,0.0000,-5.0000,0.0000,5.1960
4.0000,3.0000,0.0000,-10.0000,0.0000,0.0445,-1.5000,2.5980,-10.0000,0.0000,0.0445,-1.5000,-2.5980,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,5.1960
4.0500,3.0000,0.0000,-10.0000,0.0000,0.0445,-1.5000,2.5980,-10.0000,0.0000,0.0443,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
4.1000,3.0000,0.0000,-10.0000,0.0000,0.0451,-1.5000,2.5980,-10.0000,0.0000,0.0447,-1.5000,-2.5980,-10.0000,0.0000,0.0444,0.0000,0.0000,-5.0000,0.0000,5.1960
4.1500,3.0000,0.0000,-10.0000,0.0000,0.0445,-1.5000,2.5980,-10.0000,0.0000,0.0445,-1.5000,-2.5980,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,5.1960
4.2000,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0448,-1.5000,-2.5980,-10.0000,0.0000,0.0451,0.0000,0.0000,-5.0000,0.0000,5.1960
4.2500,3.0000,0.0000,-10.0000,0.0000,0.0464,-1.5000,2.5980,-10.0000,0.0000,0.0456,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
4.3000,3.0000,0.0000,-10.0000,0.0000,0.0444,-1.5000,2.5980,-10.0000,0.0000,0.0447,-1.5000,-2.5980,-10.0000,0.0000,0.0451,0.0000,0.0000,-5.0000,0.0000,5.1960
4.3500,3.0000,0.0000,-10.0000,0.0000,0.0445,-1.5000,2.5980,-10.0000,0.0000,0.0448,-1.5000,-2.5980,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,5.1960
4.4000,3.0000,0.0000,-10.0000,0.0000,0.0454,-1.5000,2.5980,-10.0000,0.0000,0.0449,-1.5000,-2.5980,-10.0000,0.0000,0.0444,0.0000,0.0000,-5.0000,0.0000,5.1960
4.4500,3.0000,0.0000,-10.0000,0.0000,0.0449,-1.5000,2.5980,-10.0000,0.0000,0.0452,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
4.5000,3.0000,0.0000,-10.0000,0.0000,0.0450,-1.5000,2.5980,-10.0000,0.0000,0.0449,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
4.5500,3.0000,0.0000,-10.0000,0.0000,0.0459,-1.5000,2.5980,-10.0000,0.0000,0.0452,-1.5000,-2.5980,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,5.1960
4.6000,3.0000,0.0000,-10.0000,0.0000,0.0446,-1.5000,2.5980,-10.0000,0.0000,0.0447,-1.5000,-2.5980,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,5.1960
4.6500,3.0000,0.0000,-10.0000,0.0000,0.0451,-1.5000,2.5980,-10.0000,0.0000,0.0447,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
4.7000,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0447,-1.5000,-2.5980,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,5.1960
4.7500,3.0000,0.0000,-10.0000,0.0000,0.0446,-1.5000,2.5980,-10.0000,0.0000,0.0449,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
4.8000,3.0000,0.0000,-10.0000,0.0000,0.0445,-1.5000,2.5980,-10.0000,0.0000,0.0449,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
4.8500,3.0000,0.0000,-10.0000,0.0000,0.0455,-1.5000,2.5980,-10.0000,0.0000,0.0452,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
4.9000,3.0000,0.0000,-10.0000,0.0000,0.0450,-1.5000,2.5980,-10.0000,0.0000,0.0446,-1.5000,-2.5980,-10.0000,0.0000,0.0442,0.0000,0.0000,-5.0000,0.0000,5.1960
4.9500,3.0000,0.0000,-10.0000,0.0000,0.0444,-1.5000,2.5980,-10.0000,0.0000,0.0449,-1.5000,-2.5980,-10.0000,0.0000,0.0449,0.0000,0.0000,-5.0000,0.0000,5.1960
