t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,d3_x,d3_y,d3_z,d3_poserr,d3_solve_ms,d4_x,d4_y,d4_z,d4_poserr,d4_solve_ms,d5_x,d5_y,d5_z,d5_poserr,d5_solve_ms,d6_x,d6_y,d6_z,d6_poserr,d6_solve_ms,d7_x,d7_y,d7_z,d7_poserr,d7_solve_ms,d8_x,d8_y,d8_z,d8_poserr,d8_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.5000,0.0000,0.0000,-10.0000,0.0000,0.0736,-0.0000,3.0000,-10.0000,0.0000,0.0770,-0.0000,-3.0000,-10.0000,0.0000,0.0679,3.0000,-0.0000,-10.0000,0.0000,0.0448,-3.0000,-0.0000,-10.0000,0.0000,0.0476,3.0000,3.0000,-10.0000,0.0000,0.0483,-3.0000,3.0000,-10.0000,0.0000,0.0448,3.0000,-3.0000,-10.0000,0.0000,0.0450,-3.0000,-3.0000,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,3.0000
0.5500,0.0000,0.0000,-10.0000,0.0000,0.0733,-0.0000,3.0000,-10.0000,0.0000,0.0768,-0.0000,-3.0000,-10.0000,0.0000,0.0703,3.0000,-0.0000,-10.0000,0.0000,0.0449,-3.0000,-0.0000,-10.0000,0.0000,0.0458,3.0000,3.0000,-10.0000,0.0000,0.0452,-3.0000,3.0000,-10.0000,0.0000,0.0446,3.0000,-3.0000,-10.0000,0.0000,0.0446,-3.0000,-3.0000,-10.0000,0.0000,0.0451,0.0000,0.0000,-5.0000,0.0000,3.0000
0.6000,0.0000,0.0000,-10.0000,0.0000,0.0735,-0.0000,3.0000,-10.0000,0.0000,0.0803,-0.0000,-3.0000,-10.0000,0.0000,0.0709,3.0000,-0.0000,-10.0000,0.0000,0.0460,-3.0000,-0.0000,-10.0000,0.0000,0.0449,3.0000,3.0000,-10.0000,0.0000,0.0450,-3.0000,3.0000,-10.0000,0.0000,0.0447,3.0000,-3.0000,-10.0000,0.0000,0.0451,-3.0000,-3.0000,-10.0000,0.0000,0.0453,0.0000,0.0000,-5.0000,0.0000,3.0000
0.6500,0.0000,0.0000,-10.0000,0.0000,0.0778,-0.0000,3.0000,-10.0000,0.0000,0.0771,-0.0000,-3.0000,-10.0000,0.0000,0.0686,3.0000,-0.0000,-10.0000,0.0000,0.0451,-3.0000,-0.0000,-10.0000,0.0000,0.0450,3.0000,3.0000,-10.0000,0.0000,0.0448,-3.0000,3.0000,-10.0000,0.0000,0.0447,3.0000,-3.0000,-10.0000,0.0000,0.0477,-3.0000,-3.0000,-10.0000,0.0000,0.0477,0.0000,0.0000,-5.0000,0.0000,3.0000
0.7000,0.0000,0.0000,-10.0000,0.0000,0.0737,0.0000,3.0000,-10.0000,0.0000,0.0769,0.0000,-3.0000,-10.0000,0.0000,0.0684,3.0000,0.0000,-10.0000,0.0000,0.0448,-3.0000,0.0000,-10.0000,0.0000,0.0453,3.0000,3.0000,-10.0000,0.0000,0.0455,-3.0000,3.0000,-10.0000,0.0000,0.0472,3.0000,-3.0000,-10.0000,0.0000,0.0477,-3.0000,-3.0000,-10.0000,0.0000,0.0458,0.0000,0.0000,-5.0000,0.0000,3.0000
0.7500,0.0000,0.0000,-10.0000,0.0000,0.0743,0.0000,3.0000,-10.0000,0.0000,0.0780,0.0000,-3.0000,-10.0000,0.0000,0.0688,3.0000,0.0000,-10.0000,0.0000,0.0451,-3.0000,0.0000,-10.0000,0.0000,0.0456,3.0000,3.0000,-10.0000,0.0000,0.0458,-3.0000,3.0000,-10.0000,0.0000,0.0453,3.0000,-3.0000,-10.0000,0.0000,0.0455,-3.0000,-3.0000,-10.0000,0.0000,0.0458,0.0000,0.0000,-5.0000,0.0000,3.0000
0.8000,0.0000,0.0000,-10.0000,0.0000,0.0741,0.0000,3.0000,-10.0000,0.0000,0.0782,0.0000,-3.0000,-10.0000,0.0000,0.0711,3.0000,0.0000,-10.0000,0.0000,0.0474,-3.0000,0.0000,-10.0000,0.0000,0.0449,3.0000,3.0000,-10.0000,0.0000,0.0450,-3.0000,3.0000,-10.0000,0.0000,0.0451,3.0000,-3.0000,-10.0000,0.0000,0.0457,-3.0000,-3.0000,-10.0000,0.0000,0.0456,0.0000,0.0000,-5.0000,0.0000,3.0000
0.8500,0.0000,0.0000,-10.0000,0.0000,0.0770,0.0000,3.0000,-10.0000,0.0000,0.0776,0.0000,-3.0000,-10.0000,0.0000,0.0686,3.0000,0.0000,-10.0000,0.0000,0.0453,-3.0000,0.0000,-10.0000,0.0000,0.0454,3.0000,3.0000,-10.0000,0.0000,0.0455,-3.0000,3.0000,-10.0000,0.0000,0.0453,3.0000,-3.0000,-10.0000,0.0000,0.0454,-3.0000,-3.0000,-10.0000,0.0000,0.0483,0.0000,0.0000,-5.0000,0.0000,3.0000
0.9000,0.0000,0.0000,-10.0000,0.0000,0.0740,0.0000,3.0000,-10.0000,0.0000,0.0778,0.0000,-3.0000,-10.0000,0.0000,0.0688,3.0000,0.0000,-10.0000,0.0000,0.0451,-3.0000,0.0000,-10.0000,0.0000,0.0454,3.0000,3.0000,-10.0000,0.0000,0.0454,-3.0000,3.0000,-10.0000,0.0000,0.0479,3.0000,-3.0000,-10.0000,0.0000,0.0452,-3.0000,-3.0000,-10.0000,0.0000,0.0455,0.0000,0.0000,-5.0000,0.0000,3.0000
0.9500,0.0000,0.0000,-10.0000,0.0000,0.0745,0.0000,3.0000,-10.0000,0.0000,0.0781,0.0000,-3.0000,-10.0000,0.0000,0.0683,3.0000,0.0000,-10.0000,0.0000,0.0451,-3.0000,0.0000,-10.0000,0.0000,0.0497,3.0000,3.0000,-10.0000,0.0000,0.0452,-3.0000,3.0000,-10.0000,0.0000,0.0450,3.0000,-3.0000,-10.0000,0.0000,0.0456,-3.0000,-3.0000,-10.0000,0.0000,0.0455,0.0000,0.0000,-5.0000,0.0000,3.0000
